city,state,population_estimate_2012,id
New York,NY,8336697.0,1
Los Angeles,CA,3857799.0,2
Chicago,IL,2714856.0,3
Houston,TX,2160821.0,4
Philadelphia,PA,1547607.0,5
Phoenix,AZ,1488750.0,6
San Antonio,TX,1382951.0,7
San Diego,CA,1338348.0,8
Dallas,TX,1241162.0,9
San Jose,CA,982765.0,10
Austin,TX,842592.0,11
Jacksonville,FL,836507.0,12
Indianapolis,IA,834852.0,13
San Francisco,CA,825863.0,14
Columbus,OH,809798.0,15
Fort Worth,TX,777992.0,16
Charlotte,NC,775202.0,17
Detroit,MI,701475.0,18
El Paso,TX,672538.0,19
Memphis,TN,655155.0,20
Boston,MA,636479.0,21
Seattle,WA,634535.0,22
Denver,CO,634265.0,23
Washington,DC,632323.0,24
Nashville,TN,624496.0,25
Baltimore,MD,621342.0,26
Louisville,KY,605110.0,27
Portland,OR,603106.0,28
Oklahoma City,OK,599199.0,29
Milwaukee,WI,598916.0,30
Las Vegas,NV,596424.0,31
Albuquerque,NM,555417.0,32
Tucson,AZ,524295.0,33
Fresno,CA,505882.0,34
Sacramento,CA,475516.0,35
Long Beach,CA,467892.0,36
Kansas City,MI,464310.0,37
Mesa,AZ,452084.0,38
Virginia Beach,VA,447021.0,39
Atlanta,GA,443775.0,40
Colorado Springs,CO,431834.0,41
Raleigh,NC,423179.0,42
Omaha,NE,421570.0,43
Miami,FL,413892.0,44
Oakland,CA,400740.0,45
Tulsa,OK,393987.0,46
Minneapolis,MN,392880.0,47
Cleveland,OH,390928.0,48
Wichita,KS,385577.0,49
Arlington,TX,375600.0,50
